"data","retweeted_authors","authors"
"2014-11-04",NA,"quotidianopiem"
"2014-11-04",NA,"quotidianopiem"
"2014-11-04",NA,"quotidianopiem"
"2014-11-04",NA,"donlione1"
"2014-11-04",NA,"AgorLerici"
"2014-11-04",NA,"Italy_global"
"2014-11-04",NA,"lesherbes"
"2014-11-04",NA,"Miti_Vigliero"
"2014-11-04",NA,"lesherbes"
"2014-11-04",NA,"Liguria24News"
"2014-11-04",NA,"JuriLertora"
"2014-11-04",NA,"CapitanAchab"
"2014-11-04",NA,"alpidoc"
"2014-11-04",NA,"ArpaPiemonte"
"2014-11-04",NA,"FSanfilippo71"
"2014-11-04",NA,"IlGuzzy"
"2014-11-04",NA,"Miti_Vigliero"
"2014-11-04",NA,"Giancagt6"
"2014-11-04",NA,"micky_genova"
"2014-11-04",NA,"fo1984"
"2014-11-04",NA,"cielomiomarito"
"2014-11-04",NA,"regionepiemonte"
"2014-11-04",NA,"branotizie"
"2014-11-04",NA,"UnioneMregalese"
"2014-11-04",NA,"cielomiomarito"
"2014-11-04",NA,"SimonaBellarmin"
"2014-11-04",NA,"alpidoc"
"2014-11-04",NA,"CRIcuneo"
"2014-11-04",NA,"vandasarto"
"2014-11-04",NA,"Miti_Vigliero"
"2014-11-04",NA,"Turineis"
"2014-11-04",NA,"nastrorosa"
"2014-11-04",NA,"icioweb73"
"2014-11-04",NA,"michdavico"
"2014-11-04",NA,"michdavico"
"2014-11-04",NA,"Miti_Vigliero"
"2014-11-04",NA,"ArpaPiemonte"
"2014-11-04",NA,"nastrorosa"
"2014-11-04",NA,"ArpaPiemonte"
"2014-11-04",NA,"diAlessandria"
"2014-11-04",NA,"provinciacuneo"
"2014-11-04",NA,"GiovaneArcadia"
"2014-11-04",NA,"CRIcuneo"
"2014-11-04",NA,"CapitanAchab"
"2014-11-04",NA,"Novara_e_Varese"
"2014-11-04",NA,"nastrorosa"
"2014-11-04",NA,"nadiameriggio"
"2014-11-04",NA,"Miriam8112"
"2014-11-04",NA,"quotidianopiem"
"2014-11-04",NA,"quotidianopiem"
"2014-11-04",NA,"francescosgold"
"2014-11-04",NA,"francescosgold"
"2014-11-04",NA,"Miti_Vigliero"
"2014-11-04",NA,"Miti_Vigliero"
"2014-11-04",NA,"emabelli13"
"2014-11-04",NA,"vittoriopasteris"
"2014-11-04",NA,"quotidianopiem"
"2014-11-04",NA,"quotidianopiem"
"2014-11-04",NA,"cielomiomarito"
"2014-11-04",NA,"ArpaPiemonte"
