"","mentions","freq","cat"
"323","emanuelamortari",10,"others"
"324","fede_descalzo",10,"others"
"325","flash_meteo",10,NA
"326","gmgiua",10,"others"
"327","millazena",10,"others"
"328","pianetagenoa",10,"Media"
"329","seelallero",10,"others"
"330","valbormidatv",10,"Media"
"331","valeriatomei75",10,"others"
"332","arpal_meteomare",9,NA
"333","assopeng",9,"others"
"334","balconaggio",9,"others"
"335","calb71",9,"others"
"336","cristigalas",9,"others"
"337","dariofrance",9,NA
"338","dariovassallo",9,"others"
"339","dexmac221",9,"others"
"340","fnicodemo",9,"others"
"341","gky",9,"others"
"342","lafrancaeffe",9,"others"
"343","lucalukaszek88",9,"others"
"344","marelli2000",9,"others"
"345","marinamyname",9,"others"
"346","mentelocale_it",9,"others"
"347","_pazzina",9,"others"
"348","pierdepe",9,"others"
"349","primocanalesono",9,NA
"350","raccontidiviagg",9,"others"
"351","rosybattaglia",9,"others"
"352","velaom",9,NA
"353","zeroparoleit",9,"others"
"354","147fra",8,"others"
"355","alefavapress",8,NA
"356","bastacasta",8,"others"
"357","caterinadoglio",8,"others"
"358","cciss_ministero",8,NA
"359","danielaquartu",8,"others"
"360","doriamarco",8,NA
"361","emerge67",8,"others"
"362","garro78",8,"others"
"363","gianniniroberto",8,"others"
"364","giulione3",8,"others"
"365","lazzara1970",8,NA
"366","magconsmay",8,NA
"367","massidestri",8,"others"
"368","mattecarlino",8,"others"
"369","maximilone",8,"others"
"370","mediasettgcom",8,NA
"371","mvilla84",8,"others"
"372","nulladuevolte",8,"others"
"373","p",8,NA
"374","parco5terre",8,"Institution"
"375","pelopida",8,"others"
"376","primoc",8,NA
"377","primocanalestanno",8,NA
"378","pvlucapv",8,"others"
"379","robbybleah",8,"others"
"380","robylum",8,"others"
"381","s_franceschi",8,NA
"382","silvanorubino",8,"others"
"383","skytg24",8,NA
"384","thebladerunning",8,"others"
"385","tmaxgentile",8,"others"
"386","twandreazara",8,"others"
"387","valentem5s",8,"others"
"388","veseviu",8,"others"
"389","actarus1070",7,"others"
"390","albertopandolfo",7,"others"
"391","amistagenova",7,"others"
"392","aziendalucia",7,"others"
"393","ba_bars",7,"others"
"394","corradoformigli",7,NA
"395","cristinascappa",7,"others"
"396","dieentropie",7,"others"
"397","emergenza24rt",7,NA
"398","giopge",7,"others"
"399","heythereluaodln",7,"others"
"400","indivanados",7,"others"
"401","infoblu_genova",7,"Media"
"402","mattiacasani",7,"others"
"403","maurinho4u",7,"others"
"404","maxbernardini",7,"others"
"405","mcglen79",7,"others"
"406","molotov00",7,"others"
"407","monicariotcapo",7,NA
"408","museoceramicasv",7,"Institution"
"409","pasqu85",7,"others"
"410","pierretennis1",7,"others"
"411","primo",7,NA
"412","pronews_it",7,"Media"
"413","riccardolev",7,NA
"414","savonadomani",7,"Media"
"415","sheeranbhmgdr",7,"others"
"416","toniolp83",7,"others"
"417","valentinapetrin",7,"others"
"418","welikechopin",7,NA
"419","2moschebianche",6,"others"
"420","angealfa",6,NA
"421","ceppox",6,"others"
"422","comunediameglia",6,NA
"423","condorbox",6,"others"
"424","doriamar",6,NA
"425","ducale_genova",6,"Institution"
"426","fciommei4",6,"others"
"427","fedeshots",6,"others"
"428","fsnews_it",6,NA
"429","gabrisorrenti",6,"others"
"430","gabrymalvagia",6,"others"
"431","giuliamietta",6,"others"
"432","iosonounolibero",6,"others"
"433","la7tv",6,"Media"
"434","lamelucci",6,"others"
"435","luigibarlocco",6,"others"
"436","mavipitty",6,"others"
"437","maybeve",6,"others"
"438","newsinunclick",6,"Media"
"439","nicolettaci",6,"others"
"440","ninetown79",6,"others"
"441","__pernilla__",6,"others"
"442","piccolimusei",6,NA
"443","pier_mar",6,"others"
"444","pietroroth",6,"others"
"445","pr",6,NA
"446","quotidianopiem",6,"Media"
"447","sabrinagrafico",6,"others"
"448","scinet_it",6,"others"
"449","segretivicoli",6,"others"
"450","simonabellarmin",6,"others"
"451","tgr_rai",6,NA
"452","trudino",6,"others"
"453","ultimenotizie",6,"Media"
"454","utique_eu",6,"others"
"455","valerick5",6,"others"
"456","valeriobarbini",6,"others"
"457","vmingarelli",6,"others"
"458","agente00fette1",5,"others"
"459","aka_gb",5,"others"
"460","alassioprociv",5,NA
"461","alefatigati",5,"others"
"462","alessperr",5,"others"
"463","_antoniomorello",5,"others"
"464","baby970",5,"others"
"465","cavatortia",5,"others"
"466","cicciogia",5,"others"
"467","citazioniratman",5,"others"
"468","em",5,NA
"469","eme",5,NA
"470","emerge",5,NA
"471","enzocarnazza",5,"others"
"472","faith_46",5,"others"
"473","ferdinantripodi",5,"others"
"474","funeralmarch",5,"others"
"475","giovaniliguria",5,"Institution"
"476","gmhonich",5,"others"
"477","grif__one",5,"others"
"478","gsantorotw",5,"others"
"479","guidolugani",5,NA
"480","hstex",5,"others"
"481","inkiostroweb",5,"others"
"482","italia_social",5,"others"
"483","jacopozuc",5,"others"
"484","liguriameteo",5,NA
"485","lucagattuso",5,"others"
"486","luca_rovere",5,"others"
"487","machisone",5,"others"
"488","marco_rove",5,"others"
"489","meteo4mori",5,"Weather"
"490","michemone",5,"others"
"491","monicaspoti",5,NA
"492","n11kla",5,NA
"493","nellina99",5,"others"
"494","newsroom24it",5,"Media"
"495","primocanalee",5,NA
"496","raymondklaassen",5,"others"
"497","regioneliguria",5,NA
"498","rlev",5,NA
"499","robertopanizza",5,"others"
"500","simonacambarau",5,"others"
"501","socialcubiktv",5,"Media"
"502","tecnobarbaro",5,NA
"503","toothpickjeremy",5,"others"
"504","turismoliguria",5,"others"
"505","_vally",5,"others"
"506","acquariovillage",4,NA
"507","alessandro61",4,NA
"508","andreagavarone",4,"others"
"509","annalcontrario",4,"others"
"510","anpaslazio",4,NA
"511","bensarno",4,"others"
"512","bogazzi",4,"others"
"513","capimauri1",4,"others"
"514","carlotromby",4,"others"
"515","chiavari_tweet",4,"others"
"516","csturlini",4,"others"
"517","defilippochiara",4,"others"
"518","delia_pe",4,"others"
"519","donandreagallo",4,"others"
"520","emer",4,NA
"521","entellatv",4,NA
"522","enzoenzonello",4,"others"
"523","fabio1305",4,"others"
"524","fabiocaninoreal",4,"others"
"525","fabioxdistefano",4,"others"
"526","fieradigenova",4,"others"
"527","frabarag",4,NA
"528","frescoroberto",4,"others"
"529","fuscovale",4,"others"
"530","gi",4,NA
"531","giogiac65",4,"others"
"532","glgalletti",4,NA
"533","gliintoccabili",4,"others"
"534","ilgioker",4,"others"
"535","ilterzosegreto",4,NA
"536","la_momo77",4,"others"
"537","lastampa_tech",4,NA
"538","laurantonini",4,NA
"539","lecchinimichele",4,"others"
"540","lindagiannattas",4,NA
"541","lindina80",4,"others"
"542","lordberryiii",4,"others"
"543","lucaantonini1",4,"others"
"544","luca_bruna",4,"others"
"545","makkox",4,NA
"546","meteotweet24",4,"Media"
"547","neironblog",4,"others"
"548","ninuzzo66",4,"others"
"549","nucciacifarelli",4,"others"
"550","nuceramassi",4,NA
"551","paolo_tumolo",4,"others"
"552","parodial",4,"others"
"553","parodiluca",4,"others"
"554","poldo_stop",4,"others"
"555","pompieri",4,"others"
"556","primocanalea",4,NA
"557","protcivilege0911",4,NA
"558","rblucerchiata",4,"others"
"559","riccobenefranco",4,NA
"560","rudyzerbi",4,NA
"561","ruggiero84",4,"others"
"562","serenagiacomin",4,"others"
"563","silvia6205",4,"others"
"564","socialnonmente",4,"others"
"565","__someone_",4,"others"
"566","spantegu",4,"others"
"567","spotornosubito",4,NA
"568","sv_partecipa",4,"others"
"569","teleradiopace",4,NA
"570","tgla7",4,NA
"571","turiniale",4,"others"
"572","unliammedd",4,"others"
"573","valeria_noli",4,"others"
"574","acca_gi",3,"others"
"575","adeven",3,"others"
"576","adilmauro",3,NA
"577","albengacorsara",3,"others"
"578","alessioarge",3,"others"
"579","andrerina94",3,"others"
"580","angelo_allegri",3,"others"
"581","antoniagigante",3,"others"
"582","aure1970",3,"others"
"583","beatrixkiddod",3,"others"
"584","berlinste",3,"others"
"585","c",3,NA
"586","chiaradongo",3,"others"
"587","cinziabfc",3,"others"
"588","class_tv",3,"Media"
"589","croce_alberto",3,"others"
"590","cumbeer",3,"others"
"591","danife75",3,"others"
"592","dantesommopoeta",3,"others"
"593","davideapricena",3,"others"
"594","dearjackof",3,NA
"595","demofiliaco",3,"others"
"596","earth_riot",3,"others"
"597","elenazanella",3,"others"
"598","enzos85",3,"others"
"599","fabrivalenza",3,"others"
"600","fabrypianetti",3,"others"
"601","fede83550",3,"others"
"602","fedesene",3,"others"
"603","floppy0101",3,"others"
"604","fra___c",3,"others"
"605","frapple_96",3,"others"
"606","gaetano_rizza",3,"others"
"607","gazzetta_it",3,NA
"608","genesd",3,NA
"609","gherbitz",3,"others"
"610","giaguaro73",3,"others"
"611","gianlucamorino",3,"others"
"612","giulianognecco",3,"others"
"613","giuncarossa",3,"others"
"614","gretainzaina",3,"others"
"615","ideexscrittori",3,NA
"616","italianairforce",3,NA
"617","jechil",3,"others"
"618","kirsypu",3,"others"
"619","lorliga",3,"others"
"620","loserofmymind",3,"others"
"621","luca_difra",3,"others"
"622","marioar_j",3,"others"
"623","massimobray",3,NA
"624","master2001_3",3,"others"
"625","max2004massimo",3,"others"
"626","mege",3,NA
"627","migrantessavona",3,"others"
"628","misericordie1",3,"Volunteer_NGO"
"629","msrobertad_",3,"others"
"630","o_resasco",3,"others"
"631","pcproval",3,"Institution"
"632","pdvoltri",3,"others"
"633","pe",3,NA
"634","procivcorciano",3,"others"
"635","queenieale",3,"others"
"636","rafcalandra",3,"others"
"637","retweettotutti",3,NA
"638","retwittatorc",3,"others"
"639","rptmtt",3,"others"
"640","sandrotrunzo",3,"others"
"641","scarlots",3,NA
"642","seriea100",3,"others"
"643","sherlockholme6",3,"others"
"644","silvia_ilari",3,"others"
"645","silvietta1908",3,"others"
"646","s__mira__s",3,"others"
"647","sorreman",3,"others"
"648","sottwitt",3,NA
"649","spettachearrivo",3,"others"
"650","stefano__esse",3,"others"
"651","theallozenzero",3,"others"
"652","tiecolino",3,"others"
"653","tiseguomisegui",3,NA
"654","tristemietitore",3,"others"
"655","v1nc3n2o",3,"others"
"656","v_entella",3,NA
"657","verbania5stelle",3,"others"
"658","viaggiovagando",3,"others"
"659","adritoccafondi",2,"others"
"660","alemannotw",2,NA
"661","alex24592",2,"others"
"662","amiugenova",2,NA
"663","andre76sp",2,NA
"664","andrewpasq",2,"others"
"665","antnqu",2,"others"
"666","antoniaronchei",2,NA
"667","aqui_peke",2,"others"
"668","arevati777",2,"others"
"669","becare_29",2,"others"
"670","beonelab",2,"others"
"671","biggiale",2,"others"
"672","bitpolare",2,"others"
"673","bjliguria",2,"others"
"674","blacksail",2,"others"
"675","bordnassela",2,"others"
"676","borrelli_gio",2,NA
"677","campussavona",2,NA
"678","carletti120",2,"others"
"679","carlotukk",2,"others"
"680","carlucci_cc",2,"others"
"681","claudiobu",2,NA
"682","comunedianom",2,"Institution"
"683","confcooperativ1",2,"others"
"684","cooperativeita",2,NA
"685","daffyna82",2,"others"
"686","danidibiase",2,"others"
"687","danielecingano",2,NA
"688","danieleviotti",2,"others"
"689","davidecirronis",2,"others"
"690","diego1962genova",2,"others"
"691","dmaxitalia",2,NA
"692","dox76",2,"others"
"693","dpcpat1",2,NA
"694","ebellessedezena",2,"others"
"695","eloisamore",2,"others"
"696","ennioma",2,"others"
"697","ewrsport",2,"others"
"698","fbrichetto",2,"others"
"699","fede_berruti",2,NA
"700","federugby",2,NA
"701","fircbvercelli",2,"others"
"702","gabbroit",2,"others"
"703","gazzettareggioe",2,"Media"
"704","genes",2,NA
"705","genovatracker",2,NA
"706","gianzic",2,"others"
"707","giobarbera",2,"others"
"708","giordanolet",2,"others"
"709","giorgioborrini",2,NA
"710","giuguerri",2,NA
"711","holdenboerina",2,"others"
"712","hook7",2,"others"
"713","ifacchinetti",2,NA
"714","il_dianese",2,"others"
"715","imstressed00",2,"others"
"716","infolableone",2,"others"
"717","inguaribilacida",2,"others"
"718","intermarketblog",2,"others"
"719","jemalaussene",2,"others"
"720","jessica_90_",2,"others"
"721","joeblack8ne",2,"others"
"722","lacribruzzone",2,"others"
"723","lagofigoi",2,"others"
"724","lapolcevera",2,"Media"
"725","_laroby_",2,"others"
"726","lcalzolari",2,"others"
"727","longobifano",2,"others"
"728","lonnivora",2,"others"
"729","lo_osservatore",2,"others"
"730","manolo_loop",2,"others"
"731","manubuf17",2,"others"
"732","mar",2,NA
"733","marcoemme77",2,"others"
"734","_marcosalaris",2,"others"
"735","matteorenzibasta",2,NA
"736","matteozanetti86",2,NA
"737","maxio75",2,"others"
"738","megera76",2,"others"
"739","meteoweb_eu",2,NA
"740","minambienteit",2,NA
"741","mugugnoligure",2,"others"
"742","negramaro",2,NA
"743","newsoverthere",2,"others"
"744","nicknic1968",2,"others"
"745","nikerunning_it",2,NA
"746","ninooliveri",2,"others"
"747","notstudio",2,"others"
"748","oliosommariva",2,"others"
"749","pdnetwork",2,NA
"750","peppe2999",2,"others"
"751","pgambetti",2,"others"
"752","piane",2,NA
"753","pitta35valeria",2,NA
"754","poisonanguem",2,"others"
"755","portoveneregov",2,NA
"756","radio19",2,NA
"757","radio1rai",2,NA
"758","radio24_news",2,NA
"759","radiopopmilano",2,"Media"
"760","radiormt",2,"Weather"
"761","reportrai3",2,NA
"762","roby_italy_51",2,"others"
"763","rositauau",2,"others"
"764","rubia314",2,"others"
"765","runlovers",2,NA
"766","ruuvido",2,"others"
"767","shareaholic",2,NA
"768","sirlordsinclair",2,"others"
"769","socialchanneltv",2,"Media"
"770","so_crinova",2,NA
"771","superbibasset",2,"others"
"772","tedeschivola",2,NA
"773","telegenovalive",2,"others"
"774","torakjkj",2,"others"
"775","tweetsgenova",2,NA
"776","usurana",2,"others"
"777","valencaffieri",2,"others"
"778","valenitna",2,"others"
"779","vanni",2,"others"
"780","virna_christian",2,"others"
"781","vittorianicolo",2,"others"
"782","youmedia",2,NA
"783","zarquonit",2,"others"
"784","ziogian67",2,"others"
"785","2giromondo",1,NA
"786","7settembre1893",1,"others"
"787","8_5ranger8_5",1,"others"
"788","acasilli",1,"others"
"789","agenore64",1,NA
"790","agenzia_italia",1,NA
"791","albertomac91",1,"others"
"792","alefoto",1,"others"
"793","aleterrile",1,NA
"794","alluvionati2014",1,"others"
"795","alyssaerudy",1,NA
"796","amatomata",1,NA
"797","ambiente_co",1,"others"
"798","andreadispenza",1,"others"
"799","andreafimma",1,NA
"800","andreamaggiali",1,"others"
"801","andreaolivero",1,NA
"802","andregexx",1,NA
"803","angebrixia",1,"others"
"804","annabusca",1,"others"
"805","annalisaorsi",1,"others"
"806","antimojz4",1,"others"
"807","antociccozzi",1,NA
"808","arabafenicevill",1,NA
"809","arianna_codato",1,"others"
"810","arpapiemonte",1,NA
"811","arpa_rischiome",1,NA
"812","arriolu",1,"others"
"813","axax136",1,"others"
"814","babina74",1,"others"
"815","barbara60225345",1,"others"
"816","beppe_grillo",1,NA
"817","bettina85",1,"others"
"818","bluenod",1,NA
"819","bonnie_reloaded",1,"others"
"820","brunovespa",1,NA
"821","cappu",1,NA
"822","caterpillaram",1,NA
"823","cfantinuoli",1,"others"
"824","cgilnazionale",1,"others"
"825","chiaraminetti",1,"others"
"826","cinicocronico",1,"others"
"827","cleliamussari",1,"others"
"828","clumsyellow",1,"others"
"829","cometlibe",1,"others"
"830","comunborzonasca",1,NA
"831","comunedirecco",1,NA
"832","comuneimperia",1,NA
"833","comunespeziacoc",1,NA
"834","corradopani",1,"others"
"835","corriereitbombe",1,NA
"836","corriereitgenovafrana",1,NA
"837","cotrozzi_lisa",1,"others"
"838","criliguria",1,NA
"839","crinviaggio",1,NA
"840","criprevi",1,"others"
"841","crissel89",1,"others"
"842","cronacasavona",1,NA
"843","curvadelvento",1,"others"
"844","danieleburtoli",1,NA
"845","davidemazzarell",1,"others"
"846","debortolif",1,NA
"847","demepoker",1,"others"
"848","denisheaven",1,"others"
"849","deputatipd",1,NA
"850","destradipopolo",1,"others"
"851","didinellanord",1,NA
"852","diego_ravera",1,"others"
"853","dominoalberto",1,"others"
"854","draghiwin",1,"others"
"855","egos23",1,"others"
"856","egospotami",1,"others"
"857","elisacanepa",1,"others"
"858","eman_risso",1,"others"
"859","_emiiii_",1,"others"
"860","emmebre",1,"others"
"861","enotecaliguria",1,"others"
"862","enricocazzolino",1,"others"
"863","enzlat",1,NA
"864","erikaone",1,"others"
"865","espoartemag",1,NA
"866","fabioladuca",1,"others"
"867","fabiomarelli",1,"others"
"868","fabiorimassa",1,"others"
"869","fabriziofarelli",1,NA
"870","far",1,NA
"871","farmaciasserage",1,NA
"872","fedagri",1,NA
"873","federicimassimo",1,"others"
"874","filippotimi",1,NA
"875","fiorenzosartore",1,"others"
"876","flator74",1,"others"
"877","fontanabuona",1,NA
"878","fornarisusi",1,NA
"879","francepicci",1,"others"
"880","frapiccasso",1,"others"
"881","freaklancenet",1,NA
"882","galligiuseppe",1,"others"
"883","gasirianni",1,"others"
"884","gasparripdl",1,"others"
"885","gassmangassmann",1,NA
"886","genovaeventi",1,"others"
"887","genovamilano",1,NA
"888","genovapostnews",1,NA
"889","genovaxx",1,"others"
"890","ghiovale",1,NA
"891","giannispigno",1,NA
"892","giorgiapenzo",1,NA
"893","giornirubati",1,NA
"894","giudivita",1,"others"
"895","giuliadivita",1,"others"
"896","giuspuot",1,"others"
"897","glocalnews",1,NA
"898","gmdefrancesco",1,"others"
"899","griko1958",1,NA
"900","guerini_lorenzo",1,NA
"901","guidadeimondial",1,"others"
"902","gweeeeeeeeeeeen",1,"others"
"903","henryilgrigio",1,"others"
"904","holiday_lopez",1,"others"
"905","huffpostitalia",1,NA
