"","authors","freq","cat"
"285","SERLANCECBPE",2,"others"
"286","sil_viar0",2,"others"
"287","Simona65Simona",2,"others"
"288","speziapolis",2,"others"
"289","StefanoUssi",2,"others"
"290","Taglions",2,"others"
"291","tilli_tillina",2,"others"
"292","TirrenoLivorno",2,"Media"
"293","TirrenoProvPisa",2,"Media"
"294","Tuscany_World",2,"others"
"295","usurana",2,"others"
"296","VicchioMeteo",2,"Weather"
"297","Virus1979C",2,"others"
"298","vtrendit",2,"others"
"299","YouReporter",2,"Media"
"300","zanganassa",2,"others"
"301","zener76",2,"others"
"302","ZeugmaPad",2,"others"
"303","_Doosan",1,"others"
"304","_laurina",1,"others"
"305","321ciao",1,"others"
"306","50canalenews",1,"Media"
"307","7sofficisoffi",1,"others"
"308","a_giannatta",1,"others"
"309","AbbadiaNews",1,"Media"
"310","AbsitIV",1,"others"
"311","AdyAzza",1,"others"
"312","Aiannuzzi",1,"others"
"313","aiazzi71",1,"others"
"314","aila980",1,"others"
"315","alberto79",1,"others"
"316","Ale_DiLuzio",1,"others"
"317","alemassimo00",1,"others"
"318","AlessandraDiara",1,"others"
"319","Alessandro2912",1,"others"
"320","AlessioArge",1,"others"
"321","alexgiamby",1,"others"
"322","AlfredoBertagna",1,"others"
"323","Alicedistillata",1,"others"
"324","alina_szecsodi",1,"others"
"325","AMatraia",1,"others"
"326","ameliacarlevaro",1,"others"
"327","amiatanews",1,"Media"
"328","AMISinfo",1,"others"
"329","anbarone",1,"others"
"330","And_CL",1,"others"
"331","andrea2007nanni",1,"others"
"332","AndreaSkeeter",1,"others"
"333","ANDREAZANETTIN",1,"others"
"334","angeladileo2013",1,"others"
"335","angelatanania",1,"others"
"336","ANGELOCONCAS1",1,"others"
"337","AnnaBernacchiRo",1,"others"
"338","AnpasToscana",1,"Volunteer_NGO"
"339","ansa_lazio",1,"Media"
"340","antimo23574",1,"others"
"341","AntoDiMario",1,"others"
"342","antonellavagli3",1,"others"
