"","hashtag","freq","cat"
"242","#Alluvioni",1,"Emergency"
"243","#ARANCIO",1,"Emergency"
"244","#BoccaDiSerchio",1,"Places"
"245","#bonagente",1,"others"
"246","#Brattello",1,"Places"
"247","#Buonconvento",1,"Places"
"248","#Camaiore",1,"Places"
"249","#candia_scurtarola",1,"Places"
"250","#Castiglione",1,"Places"
"251","#cecina",1,"Places"
"252","#cfr",1,"Institution"
"253","#Chianciano",1,"Places"
"254","#Co",1,"others"
"255","#Codiponte",1,"Places"
"256","#Colareta",1,"others"
"257","#Collesalvetti",1,"Places"
"258","#Colombo",1,"others"
"259","#ComuneRioElba",1,"Places"
"260","#Cortona",1,"Places"
"261","#CRI",1,"Institution"
"262","#Cronacameteo",1,"Weather"
"263","#Cutigliano",1,"Places"
"264","#denunciailpatto",1,"others"
"265","#Dicomano",1,"Places"
"266","#difesadelsuolo",1,"others"
"267","#empoli",1,"Places"
"268","#Empoli",1,"Places"
"269","#Evacuazioni",1,"Emergency"
"270","#Fi",1,"Places"
"271","#Fipili",1,"Mobility"
"272","#Firenz",1,"others"
"273","#fulmine",1,"Weather"
"274","#gaiaspa",1,"Institution"
"275","#GAIB",1,"others"
"276","#Gragnola",1,"Places"
"277","#Grossetano",1,"Places"
"278","#instagram",1,"Social_Media"
"279","#is",1,"others"
"280","#Lajatico",1,"Places"
"281","#LaSpezia",1,"Places"
"282","#LIVORNO",1,"Places"
"283","#MarioMTV",1,"Media"
"284","#MassaM",1,"others"
"285","#MassaMari",1,"others"
"286","#Metato",1,"Places"
"287","#meteovaldarno",1,"Places"
"288","#MontecatiniValDiCecina",1,"Places"
"289","#MontePisano",1,"Places"
"290","#Montieri",1,"Places"
"291","#Mugello",1,"Places"
"292","#Mugnone",1,"Places"
"293","#Navacchio",1,"Places"
"294","#NonAbband",1,"others"
"295","#NonAbbandonareLaCittá",1,"others"
"296","#occupycarrara",1,"Places"
"297","#ombrone",1,"Places"
"298","#paura",1,"others"
"299","#Piemonte",1,"Places"
"300","#piena",1,"Weather"
"301","#Pioggia",1,"Weather"
"302","#pistoia",1,"Places"
"303","#pomarance",1,"Places"
"304","#ponteginori",1,"Places"
"305","#Ripafratta",1,"Places"
"306","#SanVincenzo",1,"Places"
"307","#Sardegna",1,"Places"
"308","#saturnia",1,"Places"
"309","#Saturnia",1,"Places"
"310","#scarlino",1,"Places"
"311","#Scarperia",1,"Places"
"312","#Secchio",1,"others"
"313","#servizi",1,"others"
"314","#Sestino",1,"Places"
"315","#Sieve",1,"Places"
"316","#smem",1,"Emergency"
"317","#smemchatit",1,"Social_Media"
"318","#socialpro",1,"others"
"319","#sociaprociv",1,"others"
"320","#SospiroDiSollievo",1,"others"
"321","#SP38",1,"Mobility"
"322","#SP59",1,"Mobility"
"323","#SP63",1,"Mobility"
"324","#temporale",1,"Weather"
"325","#Tos",1,"others"
"326","#Toscan",1,"others"
"327","#Treni",1,"Mobility"
"328","#twitter",1,"Social_Media"
"329","#unaltrastoria",1,"others"
"330","#Zoagli",1,"Places"
"331","#Zubbani",1,"Institution"
