"","mentions","freq","cat"
"334","giannigrigio",1,"others"
"335","giogiac65",1,"others"
"336","giopge",1,"others"
"337","giorgia",1,"others"
"338","giorgiapenzo",1,NA
"339","giornirubati",1,NA
"340","giuguerri",1,NA
"341","giuliadivita",1,"others"
"342","glocalnews",1,NA
"343","griko1958",1,NA
"344","guerini_lorenzo",1,NA
"345","guidolugani",1,NA
"346","gweeeeeeeeeeeen",1,"others"
"347","heythereluaodln",1,"others"
"348","holdenboerina",1,"others"
"349","huffpostitalia",1,NA
"350","ideexscrittori",1,NA
"351","ila_g_",1,"others"
"352","ilarianatoli",1,"others"
"353","ilpost",1,NA
"354","ilrequieto",1,"others"
"355","imperiapost",1,NA
"356","inaprile",1,"others"
"357","infooggi",1,NA
"358","jackmantegazza",1,NA
"359","jessicanicolinitrovato",1,NA
"360","kin_nik",1,"others"
"361","kottomano",1,"others"
"362","lagofigoi",1,"others"
"363","lamelucci",1,"others"
"364","la_momo77",1,"others"
"365","lastampa_tech",1,NA
"366","laurantonini",1,NA
"367","lavalebellotti",1,NA
"368","lavoroculturale",1,"others"
"369","lazzara1970",1,NA
"370","leonaltro",1,NA
"371","leonesidiventa",1,"others"
"372","ligurianotizie",1,NA
"373","lindina80",1,"others"
"374","l_magni",1,"others"
"375","london_4_ever",1,NA
"376","lorenzojova",1,NA
"377","lottirob",1,"others"
"378","lprotezione",1,NA
"379","luca_bruna",1,"others"
"380","lucalombroso",1,"Weather"
"381","ludvictv",1,NA
"382","luigibarlocco",1,"others"
"383","magconsmay",1,NA
"384","makkox",1,NA
"385","maky_1980",1,NA
"386","marcofuscagni",1,NA
"387","marcoimarisio",1,NA
"388","marcokanobelj",1,"others"
"389","marcoleema",1,"others"
"390","marcopreve",1,NA
"391","_marcosalaris",1,"others"
"392","marinamas",1,"others"
"393","marinamyname",1,"others"
"394","mariniriccardo",1,"others"
"395","marinotoma",1,"others"
"396","mariobandini",1,NA
"397","massigiribaldi",1,"others"
"398","massimobray",1,NA
"399","matteobasilege",1,"others"
"400","matteorenzibasta",1,NA
"401","matteosalvinimi",1,NA
"402","mattiacasani",1,"others"
"403","mauroboccaccionuovo",1,NA
"404","maurococcoli",1,"others"
"405","maxbernardini",1,"others"
"406","maxpaiella",1,"others"
"407","megera76",1,"others"
"408","mentelocale_it",1,"others"
"409","meteogerena",1,NA
"410","meteomtc",1,NA
"411","meteoportaleita",1,"Weather"
"412","meteotweet24",1,"Media"
"413","michela_moretti",1,NA
"414","milanoics",1,"others"
"415","mitamoni",1,NA
"416","molotov00",1,"others"
"417","monicariotcapo",1,NA
"418","monicaspoti",1,NA
"419","montecitorio",1,NA
"420","montindavide",1,"others"
"421","mparotz",1,"others"
"422","mvilla84",1,"others"
"423","natizevi",1,"others"
"424","negramaro",1,NA
"425","ne_sp",1,"others"
"426","nikerunning_it",1,NA
"427","ninuzzo66",1,"others"
"428","nkiuky",1,"others"
"429","nomfup",1,NA
"430","nuceramassi",1,NA
"431","nulladuevolte",1,"others"
"432","oculus",1,NA
"433","ogiannino",1,NA
"434","orsini70",1,NA
"435","p2003c",1,NA
"436","pablorojasit",1,NA
"437","paolatavernam5s",1,NA
"438","paolo_rus",1,NA
"439","parodial",1,"others"
"440","parodi_ennio",1,NA
"441","parodi_lucio",1,"others"
"442","pcproval",1,"Institution"
"443","pdliguria",1,NA
"444","pdvoltri",1,"others"
"445","pelopida",1,"others"
"446","peppe2999",1,"others"
"447","perlupo",1,"others"
"448","piccolimusei",1,NA
"449","poisonanguem",1,"others"
"450","primocanalea",1,NA
"451","primocanaleallertameteolig",1,NA
"452","primocanalee",1,NA
"453","primocanalesono",1,NA
"454","primocanalestanno",1,NA
"455","procivarci",1,NA
"456","protcivilege0911",1,NA
"457","pvlucapv",1,"others"
"458","quotidianonet",1,NA
"459","raccontidiviagg",1,"others"
"460","radio19",1,NA
"461","radio24_news",1,NA
"462","radio3tweet",1,NA
"463","radiopopmilano",1,"Media"
"464","raffaellapaitaattivate",1,NA
"465","rain_1982",1,"others"
"466","raitre",1,NA
"467","rapallopfemmine",1,NA
"468","rblucerchiata",1,"others"
"469","regioneliguria",1,NA
"470","retenergie",1,NA
"471","retweettotutti",1,NA
"472","retwittatorc",1,"others"
"473","riccardolev",1,NA
"474","riccardoluna",1,NA
"475","riccobenefranco",1,NA
"476","ricpuglisi",1,"others"
"477","riparteilfuturo",1,NA
"478","ritzrove",1,"others"
"479","rlevagginn",1,NA
"480","rmc_official",1,"others"
"481","roby_italy_51",1,"others"
"482","rossipresidente",1,NA
"483","rosybattaglia",1,"others"
"484","rudyzerbi",1,NA
"485","rugby24it",1,"others"
"486","salatina67",1,"others"
"487","sbcgenova",1,"others"
"488","scarlots",1,NA
"489","se_ivana",1,NA
"490","s_emarti",1,NA
"491","seriea100",1,"others"
"492","s_franceschi",1,NA
"493","sharethis",1,NA
"494","sheeranbhmgdr",1,"others"
"495","shimuhea",1,"others"
"496","silvia6205",1,"others"
"497","silviacariello",1,"others"
"498","silvia_moggia",1,"others"
"499","silvietta1908",1,"others"
"500","silvietta_italy",1,"others"
"501","simonabellarmin",1,"others"
"502","simoneperelli",1,"others"
"503","skyscanner",1,NA
"504","s__mira__s",1,"others"
"505","sml2020",1,"Media"
"506","sole24ore",1,NA
"507","sottwitt",1,NA
"508","spotornosubito",1,NA
"509","spviadalcarbone",1,NA
"510","stefanobarabino",1,"others"
"511","stefanocatone",1,NA
"512","stefanoceccanti",1,NA
"513","susyvianello",1,"others"
"514","svogliano",1,"others"
"515","sv_partecipa",1,"others"
"516","tarchivolto",1,NA
"517","tecnobarbaro",1,NA
"518","tg2rai",1,NA
"519","tiecolino",1,"others"
"520","tiseguomisegui",1,NA
"521","tk_italia",1,NA
"522","tommasotrucco",1,"others"
"523","tripvillage",1,NA
"524","turismoliguria",1,"others"
"525","tweetsgenova",1,NA
"526","ufostufo75",1,NA
"527","unliammedd",1,"others"
"528","valencaffieri",1,"others"
"529","valentinaeve",1,"others"
"530","valeria_noli",1,"others"
"531","valeriav78",1,"others"
"532","valeriobarbini",1,"others"
"533","vfeltri",1,NA
"534","vitanonprofit",1,NA
"535","vito_romaniello",1,NA
"536","vmingarelli",1,"others"
"537","wetteronline",1,NA
"538","whufc_official",1,NA
"539","youmedia",1,NA
"540","zarquonit",1,"others"
"541","zeroparoleit",1,"others"
