"","authors","freq","cat"
"269","NGaribbo",18,"others"
"270","raffaghellogian",18,"others"
"271","StellaMartina2",18,"others"
"272","Tinavilla28",18,"others"
"273","viticci_",18,"others"
"274","66_mush",17,"others"
"275","bogdanvis",17,"others"
"276","CaterinaDoglio",17,"others"
"277","curvadelvento",17,"others"
"278","davvedder",17,"Weather"
"279","demofiliaco",17,"others"
"280","EnricoColtri1",17,"others"
"281","ErasmoDAngelis",17,"others"
"282","EttaMaggio",17,"others"
"283","holdenboerina",17,"others"
"284","iLoveGenova",17,"others"
"285","JeMalaussene",17,"others"
"286","matteo_delve83",17,"others"
"287","maurizio_arbore",17,"others"
"288","ninooliveri",17,"others"
"289","oneenrico",17,"others"
"290","sixbladeknife57",17,"others"
"291","_Nemesi6_",16,"others"
"292","7settembre1893",16,"others"
"293","AlbertBonav91",16,"others"
"294","AleAndreis68",16,"others"
"295","BlackSail",16,"others"
"296","chiarapellegri9",16,"others"
"297","EnzoEnzonello",16,"others"
"298","FrancescaNacini",16,"others"
"299","Giobannigatto",16,"others"
"300","io_marinella",16,"others"
"301","laberrets",16,"others"
"302","LenaInGenoa",16,"others"
"303","Marelli2000",16,"others"
"304","MatteoCantile",16,"others"
"305","miccel67",16,"others"
"306","miria_nicole",16,"others"
"307","nomedipersona",16,"others"
"308","paoladelusa",16,"others"
"309","ristomezzo",16,"others"
"310","Sampfan",16,"others"
"311","simonespetia",16,"others"
"312","twicolombotter",16,"others"
"313","ValbormidaTV",16,"Media"
"314","AdolfoCamilla",15,"others"
"315","alba90yt",15,"others"
"316","antonellaval6",15,"others"
"317","areopago1",15,"others"
"318","Bart1705",15,"others"
"319","cotrozzi_lisa",15,"others"
"320","crislomb",15,"others"
"321","Croce_Alberto",15,"others"
"322","edorixi",15,"others"
"323","EttoreTorzetti",15,"others"
"324","FabriValenza",15,"others"
"325","falcorossi1",15,"others"
"326","Flavia1105",15,"others"
"327","grisu165",15,"others"
"328","ilcorvoparlante",15,"others"
"329","IleniaMancin",15,"others"
"330","insopportabile",15,"others"
"331","IreneTesini",15,"others"
"332","l_magni",15,"others"
"333","loriforever1",15,"others"
"334","LorLiga",15,"others"
"335","lukilotom",15,"others"
"336","manuelamandruzz",15,"others"
"337","Marcello_Gatto",15,"others"
"338","Marinotoma",15,"others"
"339","MarziaDentone",15,"others"
"340","MAURI59N",15,"others"
"341","MtesiVi",15,"others"
"342","PaolaGigante62",15,"others"
